maincategory_name,subcategory_name,ranking,title,ori_price,dis_price,discount_percent
ALL,ALL,1,생생스토리 제주 노지 감귤  첫출하 5kg내외(랜덤과),11900,11900,50
ALL,ALL,2,경북 햇 빨간 홍로사과 5kg(25-27과 내)/한입/가정용,14900,14900,50
ALL,ALL,3,옛날과자 1kg+1kg 추억의 팝핀전병 2박스/오란다/전병,9900,9900,50
ALL,ALL,4,2봉/산동고기왕만두1.4kg+김치왕만두1.4kg/만두 간식,14900,14900,50
ALL,ALL,5,[다향오리]다향오리 훈제슬라이스 200gx10팩,24500,24500,0
ALL,ALL,6,뉴네퓨어 황사 방역용마스크 KF94 대형(화이트 60매),47900,47900,0
ALL,ALL,7,동해 자연산 반건조 오징어 10미 / 20% 쿠폰가 19920원,24900,24900,0
ALL,ALL,8,[오뗄]10+10+10개 입소문난 추억의 카스테라 핫도그/치킨,13900,13900,50
ALL,ALL,9,[풀무원]풀무원 노엣지피자/얇은피만두 골라담기+(얇피트레이증정),22500,22500,0
ALL,ALL,10,[스파클]스파클생수 2L 30병,14900,14900,46
ALL,ALL,11,TV 강부자의 부자 왕갈비탕 9팩,69900,69900,1
ALL,ALL,12,조은해남 달콤한 꿀밤고구마 특상 3kg,13400,13400,50
ALL,ALL,13,[CJ제일제당][CJ제일제당] 비비고 사골곰탕 500g X 18개 외 택 1,17500,17500,0
ALL,ALL,14,메이킹유 가을신상 원피스/블라우스/니트/자켓,8900,8900,69
ALL,ALL,15,[바라던]초저지방 찜갈비 1kg /LA갈비/갈비/소갈비/갈비찜,15900,15900,30
ALL,ALL,16,[미스타셰프]미스타셰프 버섯뚝배기불고기 4팩/간편식/증정,10900,10900,50
ALL,ALL,17,(전남생협) 탱탱한 국내산 새우 1kg (30-35미)왕새우,25900,25900,3
ALL,ALL,18,E.박도사 전통 삶은막창  300g(+소스),6900,6900,50
ALL,ALL,19,적립10% M12 X 윤승아 후드사파리,71910,71910,10
ALL,ALL,20,(신사고) 우공비 일일어휘/일일독해/일이사회/일일과학 외 학년별 선택구매,11000,11000,0
ALL,ALL,21,[광천김]광천재래전장김 10봉 특가+3개이상 구매시 사은품증정,8900,8900,50
ALL,ALL,22,장흥정남진농협 무농약 생표고버섯 1kg,12900,12900,50
ALL,ALL,23,[김나운더키친]김나운 떡갈비 명작 18팩/총36장,32900,32900,0
ALL,ALL,24,국내산 밤 첫 출하 햇밤 중대크기 2kg,14900,14900,50
ALL,ALL,25,비비고 총각김치 1.5kg x 2봉,23800,23800,20
ALL,ALL,26,국내산 달인순살 간고등어 100g X 10팩,7900,7900,21
ALL,ALL,27,[화과방](한수위) 양갱세트(24입)+쇼핑백  /행사중,15900,15900,50
ALL,ALL,28,[애경]주방세제 순샘 대용량 3L x4개 (라임2+베리2)+사은품,15900,15900,15
ALL,ALL,29,[카페베네]카페베네 200mlX20컵(2박스)/컵커피/라떼,14500,14500,43
ALL,ALL,30,TOBE 프리미엄 스마트 2중 안전장치 철봉,14900,14900,69
ALL,ALL,31,[아이더키즈](신세계하남점)아이더키즈 아동 롱패딩 2종 할인전(JMF18501 JMW18513),61410,61410,31
ALL,ALL,32,[베이비베이비]베이비베이비 아기물티슈 트윙클120매 20팩 캡형,14900,14900,50
ALL,ALL,33,[김나운더키친]김나운 손질새우 7팩 (140미),26900,26900,0
