main_cate_name,sub_cate_name,ranking,title,ori_price,dis_price,discount_percent
ALL,ALL,1,[한국투자증권](한국투자증권) 온라인 금융상품권 5만원권,50000,50000,0
ALL,ALL,2,[샤오미]샤오미 미밴드5 정품 한글판 국내정식수입 국내배송,42000,39900,5
ALL,ALL,3,아삭달콤 정품 홍로 사과 5kg내외(26-30과내외),14900,14760,0
ALL,ALL,4,[투투삭스]가을 신상양말 균일가  패션양말/스니커즈/골지/학생,23000,6900,70
ALL,ALL,5,국산 630g 르미에 라지자캔들 아로마향초 캔들워머,24000,7900,67
ALL,ALL,6,[휠라]휠라바리케이드엑스티 97 로우 1BM00838001,39000,39000,0
패션의류,ALL,1,티메이 가을신상  블라우스 원피스 니트 상하세트,32900,9900,69
스포츠/자동차,ALL,1,[안다르]30%+12% 역대급 안다르위크어택 Vol.1,39000,21900,43
ALL,ALL,7,[르헤브]손님맞이 최다구성2+2 피톤치드 항균 베개솜/베개커버,33000,9900,70
ALL,ALL,8,[밀레][밀레] 아동 베릴 키즈 다운 MVOWD901,69000,44850,35
ALL,ALL,9,[휠라]크리에이터 바이 트리게이트 1RM01144001,39000,39000,0
ALL,ALL,10,1+1/국산쌀100% 깨송편1kg+1kg/쑥 모시송편 찹쌀떡,23800,11900,50
패션의류,ALL,2,메이킹유 가을신상 원피스/블라우스/니트/자켓,29600,8900,69
패션의류,ALL,3,[지오다노]지오다노 롱패딩/자켓外 패션세일 단독 프리오픈,150000,45000,70
패션의류,ALL,4,요즘에/10%추가할인+가을신상/데님/슬랙스/면팬츠/3XL,32900,9900,69
패션의류,ALL,5,프라이데이 가을신상 빅세일 롱티/원피스/빅사이즈,19600,5900,69
패션의류,ALL,6,여성팬티 5매/노라인/위생/엉뽕/찐 특가,6900,6900,0
스포츠/자동차,ALL,2,[안다르]30%+12% 역대급 안다르위크어택 Vol.2,46000,25000,45
스포츠/자동차,ALL,3,[아이더]9월 추석템 미리 혜택받자 가을 의류용품 특가 모음전,100000,30900,69
스포츠/자동차,ALL,4,[올포유]올포유 가을맞이 바람막이/자켓 +최대30%추가할인,40000,11800,70
스포츠/자동차,ALL,5,[네파]네파 FW 간절기 자켓/티셔츠/팬츠 프리뷰 특가전,146600,44000,69
ALL,ALL,11,[닥터펩스토리] KF94 마스크 (50매) ,39900,39900,0
ALL,ALL,12,[포스트]현미 그래놀라 500g+그래놀라 크랜베리 570g +오틀리1L,25800,12900,50
