main_cate_name,sub_cate_name,item_code,ranking,title,ori_price,dis_price,discount_percent
ALL,ALL,1677762404,1,[럭스]비누 매지컬 스펠 24개,30000,10000,66
ALL,ALL,1885165721,2,정관장 활기력/20mlx16병 2박스,43000,43000,0
ALL,ALL,1867483491,3,[정관장][정관장] 홍삼정 에브리타임밸런스(10mlx30포) 2박스,112500,106880,4
ALL,ALL,1880150527,4,시공주니어  네버랜드 알록달록 아기 그림책 세트별 선택구매,160000,154000,3
ALL,ALL,1840147374,5,[한국투자증권](한국투자증권) 온라인 금융상품권 5만원권,50000,50000,0
여행,국내여행,1873090495,1,(카드15%할인) 휘닉스평창 스키 시즌권,510000,220000,56
여행,ALL,1873090495,1,(카드15%할인) 휘닉스평창 스키 시즌권,510000,220000,56
가구/침구,ALL,844941785,1,[아이르]아이르 먼지없는 나노화이바 차렵 이불단품,69800,21900,68
여행,여행소품,1832575272,1,와이파이도시락 국내데이터 30GB / NO약정 기간연장가능 30일렌탈 / 포켓와이파이 에그대여 무선인터넷,24000,24000,0
여행,해외여행,1569009582,1,금빛물결찬란한환상의터키와화려한두바이의만남10일EY,999000,999000,0
컴퓨터/전자,ALL,1694711237,1,[샤오미]미박스S 글로벌버전/공식파트너,68400,68400,0
여행,G9 해외패키지,1407329743,1,호이안 Cham섬 (참섬) 스노클링 데이투어(호이안or다낭출발),24300,24300,0
ALL,ALL,1880132746,6,조은해남 달콤한 꿀밤고구마  대 10kg(한정특가),32900,32900,0
ALL,ALL,1867483488,7,[정관장] 홍삼정 에브리타임밸런스(10mlx30포) 1박스,56250,53440,4
ALL,ALL,1884709910,8,[머지포인트](머지포인트) 10만원권(CU/던킨/이디야 등),100000,90000,10
여행,국내여행,1881789962,2,(한가위빅세일)(공식판매처) 에버랜드 종일/오후이용권(~10/31),56000,33000,41
여행,국내여행,1876040569,3,한가위빅세일|쏠비치호텔앤리조트(쏠비치3지점/쏠비치양양/쏠비치삼척/쏠비치진도/소노리조트),132000,132000,0
여행,국내여행,1876060670,4,(카드15%할인+5천원추가할인)비발디파크 시즌권 특가 판매,460000,315000,31
여행,국내여행,1860358466,5,(카드10%할인)20/21 웰리힐리파크 스키 클럽시즌권 (락카포함),510000,260000,49
여행,ALL,1881789962,2,(한가위빅세일)(공식판매처) 에버랜드 종일/오후이용권(~10/31),56000,33000,41
여행,ALL,1876040569,3,한가위빅세일|쏠비치호텔앤리조트(쏠비치3지점/쏠비치양양/쏠비치삼척/쏠비치진도/소노리조트),132000,132000,0
여행,ALL,1876060670,4,(카드15%할인+5천원추가할인)비발디파크 시즌권 특가 판매,460000,315000,31
